Quote,Author,Tags,Authors_info,Wikipedia_link
High achievement always takes place in the framework of high expectation.,Charles Kettering,"Inspirational, Motivational, Teacher ",,https://en.wikipedia.org/wiki/Charles_Kettering
The body is your temple. Keep it pure and clean for the soul to reside in.,B.K.S. Iyengar,"Success, Spiritual, Wisdom ",,https://en.wikipedia.org/wiki/B.K.S._Iyengar
"Be like a duck. Calm on the surface, but always paddling like the dickens underneath.",Michael Caine,"Inspiring, Encouragement, Bad Day ","Sir Michael Caine,  (; born Maurice Joseph Micklewhite, 14 March 1933) is an English actor, producer and author.",https://en.wikipedia.org/wiki/Michael_Caine
"Some people want it to happen, some wish it would happen, others make it happen.",Michael Jordan,"Inspirational, Life, Motivational ","Michael Jeffrey Jordan (born February 17, 1963), also known by his initials, MJ, is an American former professional basketball player.",https://en.wikipedia.org/wiki/Michael_Jordan
"Tears shed for self are tears of weakness, but tears shed for others are a sign of strength.",Billy Graham,"Strength, Christian, Self ","William Franklin Graham Jr. (November 7, 1918 – February 21, 2018)  was an American evangelist, a prominent evangelical Christian figure,  and an ordained Southern Baptist minister who became well-known internationally in the late 1940s.",https://en.wikipedia.org/wiki/Billy_Graham
Success is neither magical nor mysterious. Success is the natural consequence of consistently applying the basic fundamentals.,Jim Rohn,"Life, Motivational, Success ","Emanuel James ""Jim"" Rohn (September 17, 1930 – December 5, 2009) was an American entrepreneur, author and motivational speaker.",https://en.wikipedia.org/wiki/Jim_Rohn
It is wise to direct your anger towards problems - not people; to focus your energies on answers - not excuses.,William Arthur Ward,"Inspirational, Success, Basketball ","William Arthur Ward (December 17, 1921–March 30, 1994) was an often quoted writer of inspirational maxims.More than 100 articles, poems and meditations written by Ward were published in such magazines as Reader's Digest, The Phi Delta Kappan, Science of Mind, and various Christian publications.",https://en.wikipedia.org/wiki/William_Arthur_Ward
The worst evils which mankind has ever had to endure were inflicted by bad governments.,Ludwig von Mises,"Peace, War, Government ",Ludwig Heinrich Edler von Mises (; German: [ˈluːtvɪç fɔn ˈmiːzəs]; 29 September 1881 – 10 October 1973) was an Austrian-American theoretical Austrian School economist.,https://en.wikipedia.org/wiki/Ludwig_von_Mises
"If we did all the things we are capable of doing, we would literally astound ourselves.",Thomas A. Edison,"Inspirational, Motivational, Positive ",,https://en.wikipedia.org/wiki/Thomas_A._Edison
"As long as there's pasta and Chinese food in the world, I'm okay.",Michael Chang,"Long, Chinese, World ","Michael Te-Pei Chang (born February 22, 1972) is a retired American professional tennis player. He won 34 top-level professional singles titles, including the 1989 French Open when he was 17. He also was a three-time runner-up at the majors and reached a career best ranking of world No.",https://en.wikipedia.org/wiki/Michael_Chang
Love is our true destiny. We do not find the meaning of life by ourselves alone - we find it with another.,Thomas Merton,"Love, Valentines Day, Fate ","Thomas Merton  (January 31, 1915 – December 10, 1968) was an American Trappist monk, writer, theologian, mystic, poet, social activist, and scholar of comparative religion.",https://en.wikipedia.org/wiki/Thomas_Merton
The few who do are the envy of the many who only watch.,Jim Rohn,"Inspirational, Greatness, Envy ","Emanuel James ""Jim"" Rohn (September 17, 1930 – December 5, 2009) was an American entrepreneur, author and motivational speaker.",https://en.wikipedia.org/wiki/Jim_Rohn
"I ask, sir, what is the militia? It is the whole people except for a few public officials.",George Mason,"Gun, People, Second Amendment ","George Mason University (GMU, Mason, or George Mason) is a public research university in Fairfax County, Virginia.",https://en.wikipedia.org/wiki/George_Mason_University
To love means loving the unlovable. To forgive means pardoning the unpardonable. Faith means believing the unbelievable. Hope means hoping when everything seems hopeless.,Gilbert K. Chesterton,"Love, Inspirational, Success ",,https://en.wikipedia.org/wiki/Gilbert_K._Chesterton
Don't brood. Get on with living and loving. You don't have forever.,Leo Buscaglia,"Love, Inspiring, Positivity ","Felice Leonardo ""Leo"" Buscaglia PhD (March 31, 1924 – June 12, 1998), also known as ""Dr. Love,"" was an American author and motivational speaker, and a professor in the Department of Special Education at the University of Southern California.",https://en.wikipedia.org/wiki/Leo_Buscaglia
The Marines have landed and the situation is well in hand.,Richard Harding Davis,"Military, Marine, Hands ","Richard Harding Davis (April 18, 1864 – April 11, 1916) was an American journalist and writer of fiction and drama, known foremost as the first American war correspondent to cover the Spanish–American War, the Second Boer War, and the First World War.",https://en.wikipedia.org/wiki/Richard_Harding_Davis
"Life is one big road with lots of signs, So when you riding through the ruts, Don't you complicate your mind Flee from hate, mischief and jealousy Don't bury your thoughts; put your vision to reality.",Bob Marley,"Inspirational, Life, Motivational ","Robert Nesta Marley, OM (6 February 1945 – 11 May  1981) was a Jamaican singer-songwriter who became an international musical and cultural icon, blending mostly reggae, ska, and rocksteady in his compositions.",https://en.wikipedia.org/wiki/Bob_Marley
There is always some madness in love. But there is also always some reason in madness.,Friedrich Nietzsche,"Love, Life, Crush ","Friedrich Wilhelm Nietzsche (, German: [ˈfʁiːdʁɪç ˈvɪlhɛlm ˈniːtʃə] (listen) or [- ˈniːtsʃə]; 15 October 1844 – 25 August 1900) was a German philosopher, cultural critic, composer, poet, philologist, and Latin and Greek scholar whose work has exerted a profound influence on Western philosophy and modern intellectual history.",https://en.wikipedia.org/wiki/Friedrich_Nietzsche
"For peace of mind, we need to resign as general manager of the universe.",Larry Eisenberg,"Inspirational, Motivational, Peace ","Lawrence Eisenberg (December 21, 1919 – December 25, 2018) was an American biomedical engineer and science fiction writer.",https://en.wikipedia.org/wiki/Larry_Eisenberg
Only put off until tomorrow what you are willing to die having left undone.,Pablo Picasso,"Inspirational, Life, Motivational ","Pablo Ruiz Picasso (; Spanish: [ˈpaβlo piˈkaso]; 25 October 1881 – 8 April 1973) was a Spanish painter, sculptor, printmaker, ceramicist, stage designer, poet and playwright who spent most of his adult life in France.",https://en.wikipedia.org/wiki/Pablo_Picasso
"I am free, no matter what rules surround me. If I find them tolerable, I tolerate them; if I find them too obnoxious, I break them. I am free because I know that I alone am morally responsible for everything I do.",Robert A. Heinlein,"Inspirational, Freedom, Responsibility ","Robert Anson Heinlein (; July 7, 1907 – May 8, 1988) was an American science-fiction writer and aeronautical engineer.",https://en.wikipedia.org/wiki/Robert_A._Heinlein
Great spirits have always encountered opposition from mediocre minds. The mediocre mind is incapable of understanding the man who refuses to bow blindly to conventional prejudices and chooses instead to express his opinions courageously and honestly.,Albert Einstein,"Inspirational, Life, Being Yourself ","Albert Einstein (; German: [ˈalbɛɐ̯t ˈʔaɪnʃtaɪn] (listen); 14 March 1879 – 18 April 1955) was a German-born theoretical physicist who developed the theory of relativity, one of the two pillars of modern physics (alongside quantum mechanics).",https://en.wikipedia.org/wiki/Albert_Einstein
It's very hard in the beginning to understand that the whole idea is not to beat the other runners. Eventually you learn that the competition is against the little voice inside you that wants you to quit.,George A. Sheehan,"Motivational, Running, Ideas ","George A. Sheehan (November 5, 1918 - November 1, 1993) was a physician, senior athlete and author best known for his writings about the sport of running.",https://en.wikipedia.org/wiki/George_A._Sheehan
A well-developed sense of humor is the pole that adds balance to your steps as you walk the tightrope of life.,William Arthur Ward,"Inspirational, Life, Happiness ","William Arthur Ward (December 17, 1921–March 30, 1994) was an often quoted writer of inspirational maxims.More than 100 articles, poems and meditations written by Ward were published in such magazines as Reader's Digest, The Phi Delta Kappan, Science of Mind, and various Christian publications.",https://en.wikipedia.org/wiki/William_Arthur_Ward
"We relish news of our heroes, forgetting that we are extraordinary to somebody too.",Helen Hayes,"Sports, Hero, News ","Helen Hayes MacArthur (née Brown; October 10, 1900 – March 17, 1993) was an American actress whose career spanned 80 years.",https://en.wikipedia.org/wiki/Helen_Hayes
It isn't the mountain ahead that wears you out; it's the grain of sand in your shoe.,Robert W. Service,"Anger, Adversity, Climbing ","Robert William Service (January 16, 1874 – September 11, 1958) was a British-Canadian poet and writer who has often been called ""the Bard of the Yukon"".",https://en.wikipedia.org/wiki/Robert_W._Service
"The will to win, the desire to succeed, the urge to reach your full potential... these are the keys that will unlock the door to personal excellence.",Confucius,"Inspirational, Positive, Success ","Confucius ( kən-FEW-shəs; 551–479 BC) was a Chinese teacher, editor, politician, and philosopher of the Spring and Autumn period of Chinese history.",https://en.wikipedia.org/wiki/Confucius
"The longer we dwell on our misfortunes, the greater is their power to harm us",Voltaire,"Motivational, Inspiration, Adversity ","François-Marie Arouet (French: [fʁɑ̃swa maʁi aʁwɛ]; 21 November 1694 – 30 May 1778), known by his nom de plume Voltaire (; French: [vɔltɛːʁ]), was a French Enlightenment writer, historian and philosopher famous for his wit, his criticism of Christianity, especially the Roman Catholic Church, and his advocacy of freedom of religion, freedom of speech, and separation of church and state.",https://en.wikipedia.org/wiki/Voltaire
"Difficulties are meant to rouse, not discourage. The human spirit is to grow strong by conflict.",William Ellery Channing,"Inspirational, God, Stay Strong ","William Ellery Channing (April 7, 1780 – October 2, 1842) was the foremost Unitarian preacher in the United States in the early nineteenth century and, along with Andrews Norton (1786–1853), one of Unitarianism's leading theologians.",https://en.wikipedia.org/wiki/William_Ellery_Channing
